"account","industry","score","tier","confidence","borderline","last_updated","ai_hiring_score","ai_hiring_conf","ai_hiring_src","ai_announce_score","ai_announce_conf","ai_announce_src","cloud_score","cloud_conf","cloud_src","global_score","global_conf","global_src","dc_score","dc_conf","dc_src"
"Microsoft","Technology","100","Tier 1","33","no","2026-09-07","100","0.3","","100","0.75","https://news.google.com/rss/articles/CBMilAFBVV95cUxNQnU3MklFSlpZRmtJRTlnOTRQbzhRbU4tQTFxck4zekRkcjVNTlAtZFcxTVZQX0ZFZXltLTd1NTJ0eDFCTWxZZmRvUEhEY3VVMVlib3J3dC1PYzFOemQ2M2ZTeHdFYV9ydnVoejFDRmlpTzlLRFhsdXRrTFBMTjdpa2c5cU5CcHlWdUFmTk1ZMkdWQzY5?oc=5","100","0.3","","100","0.3","","100","0.3",""
"Amazon","Technology","100","Tier 1","33","no","2026-09-07","100","0.3","","100","0.75","https://news.google.com/rss/articles/CBMimgFBVV95cUxQZ0NKdHpMMU5FYU5LS2o1RDZLYjdDXzV5RHlJMzJCN0VtNTVZN2FhdWpTZG5NaWtITFh0SEsyOHVjRmtNMFBYN0xRUHRnOVQ5MmZtbk9yM1RhaGZTVjJXTkh1Y3lPaVYzTmw0RGxZZDc1d05WLXJ2TkwtdWpNOTlIQ1hCOGI3QXl3Zk9NVVp0MmpKdUs3WEtrV3lB?oc=5","100","0.3","","98","0.3","","100","0.3",""
"Alphabet (Google)","Technology","99","Tier 1","33","no","2026-09-07","100","0.3","","100","0.75","https://news.google.com/rss/articles/CBMilwFBVV95cUxOZmlUMU52MmY4dVZtTFl5OVdaVEthRl93NHdRclk0T3RWQTFjWnJsVWwxM1FfTTdiNHZDQjMzT2tCYjIwSlJ3cDZZdGdlSUpfckR5bW84MkIxMVZXeGo3QWdHU2l0bHJYejcwUF84VjZ4azF3blFpYWl1QWVZY3N3RmJkcWw5MGpSWXhLTG45a2RRdDM0a0JV?oc=5","98","0.3","","100","0.3","","98","0.3",""
"Meta Platforms","Technology","96","Tier 1","33","no","2026-09-07","98","0.3","","100","0.75","https://news.google.com/rss/articles/CBMimgFBVV95cUxQVEQ5MVpIalU1REI2SWlWc3FObi1YU0F1VjRkS3NoTFBkY1g4YUZ0Zmc4MjZnSlRlWGk3Y2V5emtmLV9FTXZEOHdVUTNFYU1yY3gyY3ZaR3lwbFFQV1dBcWhoQlR1MldsSU9mbE9WTFFHNkQ5MDdsNlRWN05sWDlMZUpSTl81VENNMFM1al9RbUFSUDFHR2NWTEJn?oc=5","88","0.3","","92","0.3","","100","0.3",""
"Oracle","Technology","94","Tier 1","33","no","2026-09-07","90","0.3","","100","0.75","https://news.google.com/rss/articles/CBMingFBVV95cUxNMk1zcm92LU53MzBNVmlPbzlkNTVMZjJRNzZ6enNYTktDYnFxT3JVY2k1SHptWDAzNG1UbzhERGtVSzRLV2dPUzFSRHJlYXVFYThyNnlNSVY3ZmY2eTEzMmlXazZZY2FNWDFIeWNfTGFvSmU5N0hnMkNqc2RRdWV0QTFPeHhXTGZHOTlWMnFNbVBKTk1vSjl5YWhFRURhZw?oc=5","96","0.3","","88","0.3","","98","0.3",""
"Palantir","Technology","94","Tier 1","33","no","2026-09-07","100","0.3","","100","0.75","https://news.google.com/rss/articles/CBMiowFBVV95cUxQVThNRzZVZFVwdGR2eENPM2RmZjJuZXMzT1Z1T0xla2p4cHh5OEt3MG9HR0Vvc1dlZ0NIYzhDeGpDLXg2a3RFQjRfTzBvdHN2V1lxdEs4TjdwU1hXSmZNeW1sdDBDbDIyNm9mX01zX3lFaV9mSGNxbk42bTU4YTlMal9sMWlEclhyODR1RFZpQjlsME53a2gzSGZJbDVENU5GMFRJ?oc=5","100","0.3","","75","0.3","","85","0.3",""
"Apple","Technology","92","Tier 1","33","no","2026-09-07","92","0.3","","100","0.75","https://news.google.com/rss/articles/CBMigwFBVV95cUxORUN0bEJpUFI2QVpWWnNnblcxdFlqRnN6WU1FM0Z4M1NDZGwzZUVJRVRTN1lfUEFUT3liNnRxYmpyeTRvZm9tWVJPemNlT09yRldxQ09JSUJTQkxxeWU3ZzFpX1dDQ2s4R1lzX25zSU9GZ3dRcVR2XzFFT0IzRWhWaXFYZw?oc=5","98","0.3","","87","0.3","","67","0.3",""
"Salesforce","Technology","92","Tier 1","33","no","2026-09-07","92","0.3","","100","0.75","https://news.google.com/rss/articles/CBMimwFBVV95cUxOc0ZZNU0zaU1qS1pwYmpxeEdsVUQ1azlOZXNobE5Ib1NXT2x3YzlReTBNb3RfcVJCbGxMTGpDYkVOa1l2R2hlTnlNMzdnYm1rMFE2WkxkNU92cmVLbU5aSk5oRlA5alFPdjNEa09fanhfNTNScTN2LTFpbkdDU0g4LW10d2tpaVhnRjFCTE5Ba1ExRW5Bd3BDekhXVQ?oc=5","98","0.3","","87","0.3","","67","0.3",""
"Adobe","Technology","92","Tier 1","33","no","2026-09-07","92","0.3","","100","0.75","https://news.google.com/rss/articles/CBMigwFBVV95cUxNV0NTSTVXUjlfSkFKblh5dTBHSEFOenZYV3FTc3B3d2RkblFBaGpGRllXMkNZVXJsY0hhNWpzcFhsNUV0OGxrQWg1cU45eU1hTDNicXFIQndsNVB5V1I4YnBKSUlqMGQydkotVkc3YTRoSG5nYzRvR3ZsV1g3Q1ZOdG9Maw?oc=5","98","0.3","","87","0.3","","67","0.3",""
"SAP","Technology","92","Tier 1","33","no","2026-09-07","92","0.3","","100","0.75","https://news.google.com/rss/articles/CBMikAFBVV95cUxNWEZUelFYMExpOGhlTTFjcjlpUXBnN2lJTFdEZG5ibjhpV1JQNUhXTTlocmhNWjdaTFVnVTR2Sk05ay1BdE9COFdFYnZyLTJrVlREZ0JzY1I5MVRmREwzZVNJTmFJQmFZckZ5c2FFNDhkTFRPaDZjS2xDUmFyd3g4ekhDaS16NTEyZFA1dUhpM24?oc=5","98","0.3","","87","0.3","","67","0.3",""
